ID,Built-In (no install),Online (no install),Need to install,Works w/o internet,FREE,Trial,Lifetime License,Subscription,Spare1,Reading,Writing,Exec / Focus,Cognitive,Vision,Braille,Hearing,Physical,Speech/Comm,Training / Therapy,Windows,Macintosh,Chromebook,iPad (iPadOS),iPhone (iOS),Android,(**online - mark all),Works with which OS versions,ID TAG,COMPANY,PRODUCT/FEATURE NAME,DESCRIPTION,VENDOR'S WEBSITE DESC LINK,YOUTUBE VIDEOS,AToD installer (short name),Data-Entry-Person NOTES,INTERNAL NOTES,AUDITOR NOTES
169,B,,,,F,,,,,,,,,,,H,,,,,,,,,A,,Android 5 & up,android_flashnotification,Google-Android,Flash Notifications,"Flash notifications will alert you of an incoming call, an alarm, or any other notification. You can choose to be notified by camera flash, screen flash, or both. Camera flash isn't available on all devices.",https://support.google.com/accessibility/android/answer/14112710?hl=en&ref_topic=9079844&sjid=6543886884093678779-NA,https://www.youtube.com/watch?v=R5d8p9qkah8,,,,I would fix the description so that it's more in your own words; Add the OS versions that its compatible with
170,B,,,,F,,,,,,,,,V,,,,,,,,,,,A,,,android_grayscale_mode,Google-Android,Grayscale Mode,"Google Grayscale Mode is an accessibility feature that transforms the screen display to grayscale, eliminating color and providing a simpler visual experience. This mode can be particularly beneficial for individuals who experience light sensitivity, helping to reduce eye strain by minimizing the intensity of colors on the screen.",https://www.androidpolice.com/how-to-activate-grayscale-on-mobile/,https://www.youtube.com/watch?v=UhzeHHnAdpY,,,,"The Android phone includes a built-in color correction system with a grayscale option, as seen in a demo video down below. Please test this feature on an Android device to determine if the grayscale mode offers the same or different results compared to other systems. "
171,B,,,,F,,,,,,,,,,,H,,,,,,,,,A,,,android_hac,Google-Android,Hearing Aid Compatibility (HAC),"Google Hearing Aid Compatibility (HAC) is a feature designed to enhance the audio experience for users of specific hearing aids. This compatibility ensures that users can receive clearer and more direct audio during phone calls by reducing background noise and improving sound quality. HAC allows for a seamless connection between the device and the hearing aids, facilitating better communication and overall usability for individuals who use hearing aids.",https://support.google.com/accessibility/android/answer/9426888?hl=en,https://www.youtube.com/watch?v=P5ZmqEoOheQ,,,,"The website also mentioned ""Some of these steps work only on Android 14 or later."" maybe add more detailed support OS version."
172,B,,,,F,,,,,R,,,,V,,,,,,,,,,,A,,,android_high_contrast_text,Google-Android,High Contrast Text,"Google High Contrast Text is an accessibility feature designed to enhance the readability of text on screens. By applying a black outline to white text or adjusting color contrasts, this feature makes the text stand out against its background, reducing visual strain and improving clarity. Users can enable this setting in their device's accessibility options, allowing for a more comfortable reading experience, particularly in challenging lighting conditions or for those with low vision. ",https://support.google.com/accessibility/android/answer/11183305?hl=en#zippy=%2Cuse-bold-fonts%2Cuse-high-contrast-text%2Cuse-color-correction%2Cuse-color-inversion%2Cremove-animations%2Cuse-large-mouse-pointer%2Cdim-your-screen,"https://www.youtube.com/watch?v=Vgo1NsyMH9g
https://www.youtube.com/watch?v=v-NfA4pHsUc&t=189s",,,,"Could also fit in Reading because the feature enhances text readability, which is essential for people who struggle with reading text on standard displays due to visual impairments or other reading difficulties."
173,B,,,,F,,,,,,,,,V,,,,,,,,,,,A,,,android_large_mouse_cursor,Google-Android,Large Mouse Cursor,"Google Large Mouse Cursor is an accessibility feature that enlarges the size of the mouse pointer on Android devices, improving visibility for users with low vision. By increasing the cursor size, it becomes easier to locate and track the pointer on the screen, facilitating smoother navigation and interaction with apps and content. ",https://mcmw.abilitynet.org.uk/how-to-make-the-mouse-cursor-larger-in-android-14,https://www.youtube.com/watch?v=0-qo0qiU__Q,,,,
174,B,,,,F,,,,,,,,,,,H,,,,,,,,,A,,Android 11.0 and above,android_livecaptions,Google-Android,Live Captions,"Live Captions on Android provides real-time, on-device subtitles for spoken content across apps, including videos, podcasts, and audio messages. This feature enhances accessibility by automatically generating captions without requiring an internet connection. Users can customize the appearance of captions and control playback, making it a versatile tool. Live Captions also works in multiple languages across media content and phone calls.",https://support.google.com/accessibility/android/answer/9350862?sjid=10062846770269075822-NA,https://www.youtube.com/watch?v=hPv1PkjJ-J0,,,,Fixed some grammar in description
175,,,I,,F,,,,,,,,,,,H,,,,,,,,,A,,Android 12 and up,android_live_transcribe_notification,Google-Android,Live Transcribe & Notification,"Live Transcribe & Sound Notifications provides users with real time transcription of spoken words as well as alerts to sounds such as alarms, doorbells, and baby cries.",https://play.google.com/store/apps/details?id=com.google.audio.hearing.visualization.accessibility.scribe,"https://youtu.be/2mnuwwht2lY
https://youtu.be/jLCwjIaPXwA?si=V_648oIeh4RGWUSm",,,,"One minor spelling error: ""transciption"" should be ""transcription."""
176,,,I,,F,,,,,,,,,,,,,S,,,,,,,A,,,android_looktospeak,Google-Android,Look to Speak,"Look to Speak is an app designed to assist users with limited mobility or speech challenges. By using the device's front-facing camera, the app can detect eye gaze gestures, allowing users to select pre-written phrases or images and have them spoken aloud.",https://blog.google/outreach-initiatives/accessibility/look-to-speak/,https://www.youtube.com/watch?v=r6WVBSRe_ek&t=1s,,,,"""Impairments"" changed to ""challenges"""
177,B,,,,F,,,,,,,,,V,,,,,,,,,,,A,,,android_magnification,Google-Android,Magnification,"Google Magnification is an accessibility feature that allows users to zoom in on screen content using simple gestures, such as triple-tapping the display. This functionality is particularly beneficial for individuals with low vision, as it enhances the visibility of text, images, and other on-screen elements. Once activated, users can navigate through their device with ease, adjusting the magnification level as needed to improve clarity and detail. ",https://support.google.com/accessibility/android/answer/6006949?hl=en#zippy=%2Cfull-screen-magnification-zoom-in-make-everything-bigger,https://www.youtube.com/watch?v=CREyA1MaGnQ,,,,"If this feature also significantly aids users with cognitive disabilities by simplifying the tracking of the cursor on the screen, it might be worth considering adding it to the ""cognitive"" category as well.  
The website also mentioned ""Some of these steps work only on Android 13 and up."" maybe add more detailed support OS version."
178,B,,,,F,,,,,,,,,V,,,,,,,,,,,A,,,android_magnification_gesture,Google-Android,Magnification Gesture,"Magnification Gesture on Android is an accessibility feature that allows users with visual disabilities, zoom in on parts of the screen using simple touch gestures. This feature enhances the visibility of text, images, and other on-screen content, making it easier for users to interact with their devices.",https://simplyinformed.uk/Information_Topics/Technology_Products/Android/Android_Accessibility/Android_Zoom.php,https://www.youtube.com/watch?v=4aAB4PRurVQ,,,,
179,,,I,,F,,,,,,,,,V,,,,,,,,,,,A,,Pixel 5 and later,android_magnifier,Google-Android,Magnifier (Pixel),"Magnifier is an app to magnify small text, see object details, or zoom in on faraway text like street signs or restaurant menus behind a service counter. The app allows to add visual effects to make low contrast text more visible and in low-light settings, brightness is automatically adjusted. ",https://support.google.com/pixelphone/answer/14140405?sjid=10062846770269075822-NA,https://www.youtube.com/watch?v=S61kr6CvsD8,,,,
180,B,,,,F,,,,,,,,,,,H,,,,,,,,,A,,,android_mono_audio,Google-Android,Mono Audio,"Google Mono Audio is an accessibility feature that combines stereo sound into a single audio channel, making it easier for individuals who are deaf or hard of hearing in one ear to hear audio content clearly. This feature ensures that all sound elements, whether from music, videos, or notifications, are delivered equally to both ears, preventing any loss of audio information. Users can enable Mono Audio in their device settings, allowing for a more balanced listening experience and ensuring that important sounds are accessible, regardless of hearing capability in one ear.","https://www.howtogeek.com/332706/how-to-switch-your-android-phone-to-mono-so-you-can-wear-one-earbud/#:~:text=When%20you%20listen%20to%20music,Whatever.",https://www.youtube.com/watch?v=QuMRbXwtYu8,,,,"The video demo link features an iPhone as the first video cover, but since this is an Android built-in feature, it would be more appropriate to use a different video demo. Consider this alternative: https://www.youtube.com/watch?v=QuMRbXwtYu8."
181,,,I,,F,,,,,,,,,,,,P,,,,,,,,A,,Android 5 & up,android_morsecode,Google-Android,Morse Code,"Morse code is an accessibility tool that allows users to input text by tapping out dot and dash patterns for each letter. It's part of the Gboard app and can make a real difference for people facing physical challenges. On Android, Morse code works seamlessly with features like Switch Access and TalkBack, so you can use it with assistive technologies.",https://support.google.com/accessibility/android/answer/9011881?hl=en&ref_topic=9079844&sjid=6543886884093678779-NA,https://youtu.be/Oc_QMQ4QHcw,,,,Maybe use terms like have trouble with physical movement instead of physical disabilities to be more inclusive 
182,B,,,,F,,,,,,,,,,,,P,,,,,,,,A,,Android 12 & up,android_onehandmode,Google-Android,One-Handed Mode,"One-handed mode is a feature that enables more efficient navigation of your device using just one hand. When it's activated, you can use a single hand to pull down the top half of your screen, making it easier to access notifications, app content, and more.",https://support.google.com/accessibility/android/answer/12652418?sjid=6543886884093678779-NA,https://www.youtube.com/watch?v=cxlzsVvhzwU,,,,I would fix the description so that it's more in your own words (make it so that the sentence flows better)
183,,,I,,F,,,,,,,,,,,,,S,,,,,,,A,,,android_projectactivate,Google-Android,Project Activate,"Project Activate is a communication app that allows people who are unable to speak or use technology with their hands. Users can send a text message, place a call, speak a phrase, or play an audio file when they make gestures.",https://support.google.com/accessibility/android/answer/11348365?hl=en,https://www.youtube.com/watch?v=ItyAEbCIjCU&t=10s,,,,
184,B,,,,F,,,,,,,,,,,H,,S,,,,,,,A,,,android_real_time_text,Google-Android,Real-time Text (RTT),"Google Real-time Text (RTT) is a communication feature that enables users to send and receive text messages simultaneously during phone calls. This functionality is particularly beneficial for individuals who are deaf, hard of hearing, or have speech difficulties, as it allows for a more accessible and effective way to communicate in real-time.",https://support.google.com/accessibility/android/answer/9042284?hl=en,https://www.youtube.com/watch?v=ATjh3IGZ8yg,,,,"Should ""Cognitive"" also be checked off since it helps with comprehension and processing info during conversations?; should ""Speech"" be checked?"
185,,,I,,F,,,,,,,E,,,,H,,,,,,,,,A,,Android 6.0 or higher,android_soundamplifier,Google-Android,Sound Amplifier,"Sound Amplifier makes daily conversations and ambient noises more accessible to persons that are hard of hearing. It helps you to decrease unwanted noise to improve speech recognition and focus on a speaker's voice in loud surroundings using conversation mode. You may also listen to chats, television, and lectures. Bluetooth headphones are ideal for listening to audio sources from a distance. ",https://play.google.com/store/apps/details?id=com.google.android.accessibility.soundamplifier&hl=en_US,"https://youtu.be/6Fknku1knmc?feature=shared
https://www.youtube.com/watch?v=6Fknku1knmc&t=2s",,,,I believe this would only count as Hearing and not cognitive as well since this will amplify sounds around you on your device.
186,,,I,,F,,,,,R,,,,,,,P,,,,,,,,A,,Android 8.0 and up,android_speech_recognition_synthesis,Google-Android,Speech Recognition & Synthesis,The Speech Recognition and Synthesis from Google app provides users with text-to-speech but also is compatible with applications that have a speech-to-text functionality to convert your voice to text.,https://play.google.com/store/apps/details?id=com.google.android.tts,https://youtu.be/Yy2_lz9nvA8?si=WRV3tHm_3ly-QBr9,,,I was only able to find a video of someone showing the voices it provides.,"Spelling correction: Change ""Andriod"" to ""Android."" The description could better explain the speech-to-text compatibility by specifying which apps or use cases this applies to."
187,B,,,,F,,,,,,,,,,,,P,,,,,,,,A,,Android 5.0,android_switch_access,Google-Android,Switch Access (Android),"Google Switch Access is an accessibility feature that enables users to control their devices using a switch or keyboard, rather than relying solely on the touchscreen. This feature is particularly beneficial for individuals who may have difficulty with direct touch interactions due to physical challenges. Switch Access allows users to navigate the device, select items, and perform actions by pressing a switch or key, providing an alternative means of interaction that enhances independence and usability. ",https://support.google.com/accessibility/android/answer/6122836?hl=en,https://www.youtube.com/watch?v=rAIXE6ilRQ0&embeds_referring_euri=https%3A%2F%2Fsupport.google.com%2F&embeds_referring_origin=https%3A%2F%2Fsupport.google.com&source_ve_path=MjM4NTE,,,,
188,B,,,,F,,,,,,,,,V,B,,,,,,,,,,A,,Android 4.0 and later,android_talkback,Google-Android,TalkBack,"TalkBack is a screen reader found on Android devices that helps people who are blind or low vision interact with their device using touch and spoken feedback.  It reads out loud what’s on the screen, like apps, buttons, and text, so you can understand what you are touching or selecting. TalkBack lets you use gestures to move around and do things on your Android device. You can use one finger or multiple fingers, depending on your device. Every device works with one-finger gestures, but updates devices such as the Android R, Pixel 3 and Samsung Galaxy can also use multi-finger gestures.   The braille on-screenkeyboard may be used to enter text. The keyboard uses a uses a six-key layout, where each key represents one of the six dots of the braille cell. It supports braille grade 1 and 2 and multiple languages.  The TalkBack 13.0 app can allow your android to connect to a braille keyboard and offers display in multiple different languages like Cantonese, French, German, Greek, Italian, Kannada, Polish, Swedish, etc. You can pair your device's Bluetooth with a compatible braille display and use the keys on the braille display to navigate and interact with your device while screen content is exhibited.   (Check to be sure you have the talkback 13 or higher. if not go to play store and upgrade to latest)","https://support.google.com/accessibility/android/answer/6283677?hl=en#:~:text=TalkBack%20is%20the%20Google%20screen,free%20control%20of%20your%20device.","https://youtu.be/MEp9DtiTw3s?si=wt5guqe75oc3lnaS
https://www.youtube.com/watch?v=_1yRVwhEv5I
https://www.youtube.com/watch?v=VExr6R5i1FQ",,,,
189,B,,,,F,,,,,,,,,,,,P,,,,,,,,A,,Android 7,android_touch_hold_delay,Google-Android,Touch and Hold Delay,"Google Touch and Hold Delay is an accessibility feature that allows users to customize the duration of the delay required for touch interactions on their devices. By adjusting this setting, individuals with motor challenges can reduce the risk of accidental taps or long presses, improving their ability to navigate and interact with their device effectively.",https://support.google.com/accessibility/android/answer/6006989?hl=en,https://www.youtube.com/watch?v=3hxXYJYm1_Y,,,,The video provided is more about tweatking the touch and hold delay for a quicker response. I think for accessibility this video is more apt - https://www.youtube.com/watch?v=3hxXYJYm1_Y   or if you can find anything else.      Might want to reassess the diability catergories and the adroid version it is available on. 
190,B,,,,F,,,,,,,,,V,B,H,,,,,,,,,A,,,android_vibration_haptic,Google-Android,Vibration and Haptic Feedback,"Google Vibration and Haptic Feedback is an accessibility feature that delivers tactile sensations through vibrations in response to notifications, button presses, and interactions on the device. Users can customize vibration patterns for different notifications, improving their awareness of incoming messages or alerts without relying on sound.",https://support.google.com/accessibility/android/answer/9078946?hl=en,https://www.youtube.com/watch?v=VW8qPZwfwPU,,,,
191,,,I,,F,,,,,,,,,,,,P,,,,,,,,A,,Android 5.0 (Lollipop) or later,android_voiceaccess,Google-Android,Voice Access,"Voice Access allows users to control their device using spoken commands. With Voice Access, you can use your voice to open apps, navigate through menus, and edit text. Voice Access helps anyone who has difficulty manipulating a touch screen (e.g. due to paralysis, tremor, or temporary injury) use their Android device by voice.  With Voice Access:

Get around your phone: Say things like ""go back,"" ""go home,"" or ""open Gmail.""
Control the screen: Say ""tap next"" or ""scroll down.""
Write and edit text: Say ""type hello"" or ""replace coffee with tea.""",https://support.google.com/accessibility/android/answer/6151848?sjid=7263537158122082526-NA,https://www.youtube.com/watch?v=niiZxQggUJM,,,,"Voice Access allows users to control their device using spoken commands. With Voice Access, you can use your voice to open apps, navigate through menus, and edit text. Voice Access helps anyone who prefers controlling their device hands-free or has difficulty manipulating a touch screen (e.g. due to paralysis, tremor, or temporary injury).  

With Voice Access, you can:

- Get around your phone: Say things like ""go back,"" ""go home,"" or ""open Gmail.""
- Control the screen: Say ""tap next"" or ""scroll down.""
- Write and edit text: Say ""type hello"" or ""replace coffee with tea."""
192,B,,,,F,,,,,,,,,,,,P,,,,,C,,,,,,google_COS_chromebook_keyboard,Google-ChromeOS,Chromebook Keyboard,"The Chromebook keyboard is a streamlined and optimized keyboard for Chrome OS, featuring unique keys and shortcuts tailored for web-based navigation and productivity. It enhances workflow by integrating intuitive shortcuts that reduce the need for complex key combinations, simplifying tasks like adjusting brightness, volume, or taking screenshots. When paired with Chrome OS's built-in accessibility features, the keyboard supports an inclusive digital environment. ",https://support.google.com/chromebook/answer/1047364?ref_topic=9016892,https://www.youtube.com/watch?v=RzE3ESu_4wc,,,,Be more descriptive and specific in the description.
193,B,,,,F,,,,,,,,,V,B,,,,,,,C,,,,,,google_COS_ChromeVox,Google-ChromeOS,ChromeVox,Chrome's built in screen-reader.,https://support.google.com/chromebook/answer/7031755?hl=en,https://www.youtube.com/watch?v=fpbIsN31hLM,,,"description could include - works on Chromebooks and chrome browser. Youtube video might be long, but easy to move through chapters. Version - updated along with chrome OS.",
194,B,,,,F,,,,,R,,,,V,,,,,,,,C,,,,,,google_COS_colorinversion,Google-ChromeOS,Color Inversion,"Color inversion is a feature that reverses the colors of the screen and text to provide higher contrast and easier readability. This feature applies to all content on your device, including media. For instance, black text on a white screen will appear as white text on a black screen.",https://support.google.com/accessibility/android/answer/6151800?hl=en,https://www.youtube.com/watch?v=gO0BgwY2lBA,,,,description is accurate but taken from website. It could change to match tone of other descriptions on the Learn&Try tool. 
195,B,,,,F,,,,,,,,,V,,,,,,,,C,,,,,latest version of chromeOS,google_COS_cursorhighlight,Google-ChromeOS,Cursor Highlight,"Make your cursor easy to spot by adding a colored ring around it, or change the color of the cursor.",https://chromestory.com/2022/10/highlight-chromebook-mouse-pointer/,https://www.youtube.com/watch?v=xHBVI5Mf-i0,,,,website not really helpful in describing the tool. other websites lead to extension options
196,B,,,,F,,,,,,,,,,,,P,,,,,C,,,,,latest versions of ChromeOS,google_COS_dictation,Google-ChromeOS,Dictation,"Dictation is an accessibility feature that allows you to type using your voice. You can speak to enter text, as well as punctuation marks, symbols, or emojis by speaking their names.",https://support.google.com/chromebook/answer/12001244?hl=en,https://www.youtube.com/watch?v=f59Xfwq1HII,,,,
197,B,,,,F,,,,,,,,,V,,,,,,,,C,,,,,,google_COS_docked_magnifier,Google-ChromeOS,Docked magnifier,"Chromebook's Docked Magnification allows users who are blind or have low vision to zoom in on the top part of the screen while keeping the rest at a normal size. This split-screen effect helps focus on specific content, with the top portion magnified and the bottom unchanged. The feature provides a clearer view of important areas without altering the entire screen. It can be easily enabled or disabled in the accessibility settings.",https://support.google.com/chromebook/answer/6320705?hl=en,https://youtu.be/OFzAk5XTJgs,,,,This tool could also be helpful for people with cognitive conditions like ADHD  ✔
198,B,,,,F,,,,,R,,,,V,,,,,,,,C,,,,,,google_COS_readingmode,Google-ChromeOS,Reading Mode,"The reading mode simplifies content by removing non-essential elements. You can personalize your experience by customizing font styles, text size, color themes, line height, and letter spacing to suit your preferences. Additionally, you can adjust the side panel width for better viewing.",https://support.google.com/chrome/answer/14218344?hl=en,https://www.youtube.com/watch?v=heI8cdhyrjw,,,,website mentions that these settings only apply to the text you want to read in the side panel. They won’t apply to any other content in Chrome or to general websites.
199,B,,,,F,,,,,,,,,V,,,,,,,,C,,,,,,google_COS_screenmagnifier,Google-ChromeOS,Screen Magnifier,"Screen magnifier is a tool that makes it easier for individuals to see text and images on screen in the desired size. It makes reading and interacting with digital content, such as websites or documents easier by allowing users to adjust size of the displayed text or images. ",https://support.google.com/chromebook/answer/6320705?hl=en#chromebook_screenmagnifier,https://www.youtube.com/watch?v=v-NfA4pHsUc&list=PL5aqr5w5fRe7QWzXhqxrilIVduWEmLHM2&index=3,,,,description is accurate but taken from website. It could change to match tone of other descriptions on the Learn&Try tool. 
200,B,,,,F,,,,,R,,,C,V,,,,,,,,C,,,,,,google_COS_selecttospeak,Google-ChromeOS,Select to speak,"With the select-to-speak feature, a user can choose specific lines or sections of the screen to be read aloud. This can help people with low vision, reading difficulties, or cognitive disabilities access online content or someone who just wants to listen to text spoken aloud while reading it simultaneously.",https://support.google.com/accessibility/answer/9032490?hl=en&ref_topic=9116829,https://www.youtube.com/watch?v=_gz4lXWDzTQ,,,,description is accurate but taken from website. It could change to match tone of other descriptions on the Learn&Try tool. 
201,,O,I,,F,,,S,,R,,,,,,,,,,W,M,C,P,I,A,O,,grammerly_writingassistant,Grammarly Inc.,Grammarly,"Grammarly is a digital writing assistant designed to enhance your writing by providing real-time grammar, spelling, punctuation, and style suggestions. It is available as a web-based platform, desktop app, browser extension, and mobile app, offering seamless integration across various devices and applications. Grammarly helps users improve clarity, engagement, and delivery, making it an invaluable tool for students, professionals, writers, and anyone looking to communicate effectively.",https://www.grammarly.com/accessibility-statement,https://www.youtube.com/watch?v=1HL30Ny9tyI&ab_channel=BryanCollins,,,,
202,,,I,,F,,,S,,,,,,V,,H,,,,,,,P,I,A,,"iOS 9 or later, Android 4.3 & up",greta_starkapps,Greta & Starks Apps UG,Greta,"Greta is an app that helps people with sight or hearing loss enjoy movies. It provides foreign language subtitles and audio versions for an international audience, and plays audio descriptions, subtitles/closed captions, sound amplification, and sign language videos for hard-of-hearing individuals and people with hearing loss using a smartphone or tablet.",https://gretaundstarks.de/greta/GretaAndStarks/,https://www.youtube.com/watch?v=Nw035PzUdRM&t=25s,,In app purchases,,
203,,,I,,,,L,,,,,,,,,,,S,,,,,P,I,A,,,guscommunication_talktablet,Gus Communication Devices Inc,TalkTablet Pro,"TalkTablet PRO® is a fully-featured AAC speech/communication solution for people who have difficulty communicating as a result of autism, aphasia, Down Syndrome, stroke, laryngectomy or any other condition that affects a person's ability to communicate effectively.",https://usaspeechtablets.com/,"https://www.youtube.com/c/Talktablet/videos
https://www.TalkTabletVideos.com",,,,
204,,,I,,F,,L,,,,,,,,,,,S,,,,,P,I,,,"iOS 13.0 or later, iPadOS 13.0 or later",text_to_speech,Gwyn Durbridge,Text to Speech!,"Text to Speech transforms typed words into audio with 178 voices in 63 languages and accents. Users can adjust the pitch and rate, enable speak as they type, and highlight spoken text for better clarity. The app works offline and allows users to star favorite phrases, organize them into folders, and export audio files. It also supports mixing speech into phone calls and offers personal voice features for iOS 17 and later. ",https://apps.apple.com/us/app/text-to-speech/id712104788,,,,N/A,
205,,,I,,F,,,,,,,,,,,,,S,,W,,,,,,,Windows all versions from 98 to 7,head_eye_communication,H Mouse and SHEC,Head Eye Communication,"Produces short commuication sentences vocalized by SAPI5 speech synthesis. Letters in Groups are shown on the screen from which the start of the word is chosen. The groups are to be determined according to the needs of the user: one can choose an alphabetical EJARIN arrangement, or other. ",https://ul.gpii.net/content/head-eye-communication-various-models?search_api_views_fulltext=head%20eye%20communication&product_status=1&sort_by=search_api_relevance&sort_order=DESC&items_per_page=25,,,,,"- Remove the part in description that states who uses it, just cut to how users can use it 
- I also couldn't find a video"
206,,,I,,F,T,,S,,,W,,C,,,H,P,,,W,M,C,,I,A,,"iOS 15.5 or later
Android 6.0 and up
macOS: Monterey, Ventura or later
Windows: 10 or later",messengerpidgeon,Habitat Learn,Messenger Pigeon,"Messenger Pigeon is a learning tool that allows users to capture and organize educational content, such as audio and video recordings. It offers automated transcription, captioning, AI-generated summaries and quizzes, and the option to get notes from your recordings written by a professional. It also provides an AI assistant that generates summaries, keywords, and quizzes to help with comprehension and retention. Additional features such as speed control and grammar check are also included.",https://messengerpigeon.habitatlearn.com/,"https://www.youtube.com/watch?v=woBdW2iW_6g
https://youtu.be/OMR6z95jcXw?si=gxK-dHj_6iBcAbcX.
https://youtube.com/playlist?list=PLBPiCEo9zp4o5yEY_-OysS0oGs9tmVnxy&si=k_6Fn3Pv4DIH3Rch
https://youtu.be/OMR6z95jcXw?si=gxK-dHj_6iBcAbcX",,reviewed by vendor,,
207,,,I,,F,,,,,,,,,,,,P,,,,,,P,I,,,"iOS: Requires iOS 12.0 or later.
iPadOS: Requires iPadOS 12.0 or later.
macOS: Requires macOS 11.0 or later and a Mac with Apple M1 chip or later.
iPhone or iPad: iPhone X, XS, XR, 11, 11 Pro, and the new iPad Pro.",hawkeye_access,Hawkeye Labs,Hawkeye Access,"Hawkeye Access is a hands-free web browser that enables users to navigate websites using eye movements. This innovative tool is designed for individuals with limited motor control or those facing challenges with fine motor skills. By tracking eye movements, users can select links, scroll through pages, and interact with content effortlessly, improving their online experience and promoting greater independence while browsing the web.",https://apps.apple.com/us/app/hawkeye-access/id1439231627,https://www.youtube.com/watch?v=fLktElD6QfU,,,,
208,,,I,,F,,,S,,R,W,,,,,,,,,W,M,C,P,I,,,,Helperbird,Helperbird LLC,Helperbird,"Helperbird is an accessibility tool designed to assist individuals with various reading and writing challenges, such as dyslexia, ADHD, low vision, and more. It provides features that can improve comprehension and usability of web content. It aims to make web browsing more inclusive and accessible to all users by providing a wide range of customizable features tailored to individual needs.",https://www.helperbird.com/features/,https://youtu.be/vwT8SAJfU3E?si=_W-xB_pRwOYODMzG,,"Fixed description, added Cognitive, and fixed YT link so it should not start from the middle.",,
209,,,I,,,T,L,S,,,W,,,,,,,,,W,M,C,,,,,,hemingwayeditor,Hemingway Editor,Hemingway Editor,Hemingway Editor helps you write clearly and correctly. It shows common mistakes that make your writing harder to understand. It checks how easy your writing is to read and highlights the most difficult sentences. It also points out things that weaken your message.,https://hemingwayapp.com/,https://www.youtube.com/watch?v=ddaBuIzlnUs,,,,
210,,,I,,F,TT,,S,BE,R,,,,,,,,,,W,M,C,P,I,A,,,hewizo,Hewizo ,Hewizo - Podcasting for Articles,"Screen reader software that creates the most human sounding voice, available in 30+ languages - for any articles",https://hewizo.com/home,"https://www.youtube.com/watch?v=jT68IsnvwQI
https://www.youtube.com/shorts/ahpgnDx4wuU",,,,"Developer website could be found here: https://hewizo.com/home

The description is a bit too generic.

The app is avalible mainly as a chorme extension, but its website is also a web app making it avablible for all platforms - there're no dedicated iOS or Android apps.

Lacks demo video:
extension could be found here: https://youtu.be/jT68IsnvwQI
webapp could be found here: https://youtube.com/shorts/ahpgnDx4wuU

Lacks ID Tag"
211,,,I,,F,,,,,R,,,,,,,,,,W,,,,,,,Microsoft Windows 7/8/10/11,balabolka,Ilya Morozov,Balabolka,"Balabolka is a Text-to-Speech (TTS) program that reads text aloud using the voices installed on your computer.  It can turn text from various file types like PDFs, Word documents, and eBooks into speech, and even save the audio as a file. Balabolka can read the clipboard content, extract text from documents, customize font and background color, control reading from the system tray or by the global hotkeys.  Balabolka supports text file formats: AZW, AZW3, CHM, DjVu, DOC, DOCX, EML, EPUB, FB2, FB3, HTML, LIT, MD, MOBI, ODP, ODS, ODT, PDB, PRC, PDF, PPT, PPTX, RTF, TCR, WPD, XLS, XLSX.",https://www.cross-plus-a.com/balabolka.htm,"https://youtu.be/DrnKKqVmHTk?si=C8ugUoy1bCVmCF1q&t=3
https://www.youtube.com/watch?v=-Fr_gyLB9dQ",,,,
212,,,I,,,T,L,,,,,,,,,,P,,,W,,,,,,,Windows 2000 and above,img_joysticktomouse,Innovation Management Group,Joystick-To-Mouse,"Joystick-To-Mouse allows you to use any joystick to point & click just like a mouse. You can move the cursor with the joystick and use the buttons for clicking, dragging, and other mouse actions. It's helpful for people who have difficulty using a traditional mouse, and it offers a lot of customization options. You can assign keyboard shortcuts to joystick buttons, adjust cursor speed and sensitivity, and even create macros to perform complex actions with a single button press. It works with a wide range of joysticks and game controllers.",https://www.imgpresents.com/joy2mse/j2m.htm,,,,,
213,,,I,,,T,L,,,,,,,,,,P,,,W,,,,,,,Windows 2000 and above,img_onscreen,Innovation Management Group,OnScreen,"OnScreen with Word Complete replaces your physical keyboard with an onscreen version that controls Windows functions (including logon) and all Windows programs It also offers over 200 international onscreen keyboards, word prediction / word completion, show/hide keys, zoom over keys, color and key background inversion, text to speech, 11 user panels, user programmable macros, and complete control over all computer functions. It offers word prediction, many keyboard layouts, and accessibility features like text-to-speech.  ",https://www.imgpresents.com/onscreen/onscreen.htm,,,,,
214,,,I,,,T,L,,,,,,,,,,P,,,W,,,,,,,Windows 2000 and above,img_smartclick,Innovation Management Group,SmartClick ,"SmartClick is designed to allow any user that can operate a pointing device (mouse, trackball, serial joystick, headmouse, single switch, etc), but cannot click the pointing device buttons, to have the computer do mouse button functions for them. SmartClick can perform actions such as double-clicks, right-clicks, drags, and keyboard options. It also has features such as Auto-Repeat (mouse clicks or up/down arrows), Close Window, and Escape key. As long as you can move the mouse cursor (whether by mouse, trackball, joystick, laser-eye tracker, or any other means), you can completely run & operate your Windows computer.
",https://www.imgpresents.com/smartclk/smc.htm,,,,,
215,,,I,,,T,L,,,,,,,V,,,,,,W,,,,,,,Windows 2000 and above,img_themagnifier,Innovation Management Group,The Magnifier,The Magnifier allows you to magnify up to 40x . It can operate as a Full Screen magnifier or Area magnifier and can be controlled from the keyboard or mouse.,https://www.imgpresents.com/magnify/mag.htm,https://youtu.be/HpDRpdQ3qRE,,,,
